_id,Date,Time,CAN ID,DLC,Message
1,2023-01-24,14:37:09.146393,18FECA96,8,00 FF 00 00 00 00 FF FF 
2,2023-01-24,14:37:09.154191,18FECA97,8,00 FF 00 00 00 00 FF FF 
3,2023-01-24,14:37:10.145083,18FECA96,8,00 FF 00 00 00 00 FF FF 
4,2023-01-24,14:37:10.150667,18FECA97,8,00 FF 00 00 00 00 FF FF 
5,2023-01-24,14:37:11.138495,18FECA96,8,00 FF 00 00 00 00 FF FF 
6,2023-01-24,14:37:11.146299,18FECA97,8,00 FF 00 00 00 00 FF FF 
7,2023-01-24,14:37:12.134871,18FECA96,8,00 FF 00 00 00 00 FF FF 
8,2023-01-24,14:37:12.141936,18FECA97,8,00 FF 00 00 00 00 FF FF 
9,2023-01-24,14:37:13.131434,18FECA96,8,00 FF 00 00 00 00 FF FF 
10,2023-01-24,14:37:13.138576,18FECA97,8,00 FF 00 00 00 00 FF FF 
11,2023-01-24,14:37:14.127838,18FECA96,8,00 FF 00 00 00 00 FF FF 
12,2023-01-24,14:37:14.135798,18FECA97,8,00 FF 00 00 00 00 FF FF 
13,2023-01-24,14:37:15.124494,18FECA96,8,00 FF 00 00 00 00 FF FF 
14,2023-01-24,14:37:15.131944,18FECA97,8,00 FF 00 00 00 00 FF FF 
15,2023-01-24,14:37:16.120889,18FECA96,8,00 FF 00 00 00 00 FF FF 
16,2023-01-24,14:37:16.128390,18FECA97,8,00 FF 00 00 00 00 FF FF 
17,2023-01-24,14:37:17.118173,18FECA96,8,00 FF 00 00 00 00 FF FF 
18,2023-01-24,14:37:17.126624,18FECA97,8,00 FF 00 00 00 00 FF FF 
19,2023-01-24,14:37:18.114681,18FECA96,8,00 FF 00 00 00 00 FF FF 
20,2023-01-24,14:37:18.123078,18FECA97,8,00 FF 00 00 00 00 FF FF 
21,2023-01-24,14:37:19.111002,18FECA96,8,00 FF 00 00 00 00 FF FF 
22,2023-01-24,14:37:19.119224,18FECA97,8,00 FF 00 00 00 00 FF FF 
23,2023-01-24,14:37:20.107511,18FECA96,8,00 FF 00 00 00 00 FF FF 
